human,machine
thursday april 17 1975,1975-04-17
06.06.09,2009-06-06
sunday october 6 2002,2002-10-06
17 january 2006,2006-01-17
21 sep 2001,2001-09-21
7/13/18,2018-07-13
saturday november 24 1984,1984-11-24
tuesday march 13 1973,1973-03-13
thursday december 21 1978,1978-12-21
april 26 1976,1976-04-26
april 26 2016,2016-04-26
thursday december 12 1985,1985-12-12
thursday july 23 1998,1998-07-23
1 september 2010,2010-09-01
06 feb 1975,1975-02-06
17.09.16,2016-09-17
thursday march 15 1979,1979-03-15
sunday september 5 1976,1976-09-05
jun 25 1979,1979-06-25
14 jun 1995,1995-06-14
8 october 2012,2012-10-08
friday february 1 1980,1980-02-01
thursday october 29 1992,1992-10-29
friday july 15 1983,1983-07-15
tuesday september 29 2015,2015-09-29
19.04.11,2011-04-19
january 18 1998,1998-01-18
16 01 76,1976-01-16
thursday january 3 1980,1980-01-03
sunday may 15 2016,2016-05-15
saturday october 5 1991,1991-10-05
jan 16 2003,2003-01-16
9 nov 1974,1974-11-09
thursday march 13 2014,2014-03-13
30 apr 2016,2016-04-30
23 february 1986,1986-02-23
friday december 6 2013,2013-12-06
jul 5 1992,1992-07-05
saturday february 27 1982,1982-02-27
february 3 1981,1981-02-03
friday august 17 2007,2007-08-17
4/28/02,2002-04-28
28 july 2005,2005-07-28
monday august 17 1992,1992-08-17
november 23 1971,1971-11-23
5 april 1994,1994-04-05
monday january 18 1993,1993-01-18
sunday september 17 2017,2017-09-17
27.04.17,2017-04-27
wednesday june 29 1983,1983-06-29
11/23/18,2018-11-23
friday october 23 1970,1970-10-23
tuesday november 1 2011,2011-11-01
wednesday october 18 1989,1989-10-18
19 jan 1980,1980-01-19
friday june 1 1973,1973-06-01
15.08.72,1972-08-15
31 august 2004,2004-08-31
thursday july 23 2015,2015-07-23
wednesday june 27 1979,1979-06-27
28 01 91,1991-01-28
29 mar 2014,2014-03-29
sunday january 7 1973,1973-01-07
friday february 4 1994,1994-02-04
may 18 1983,1983-05-18
sunday july 19 1998,1998-07-19
11 feb 2012,2012-02-11
03 jul 1998,1998-07-03
26 oct 2017,2017-10-26
november 24 1996,1996-11-24
28 august 1983,1983-08-28
24 aug 2008,2008-08-24
wednesday september 12 1990,1990-09-12
tuesday march 31 1998,1998-03-31
18 jul 2003,2003-07-18
31 december 1993,1993-12-31
8/17/11,2011-08-17
23 may 1971,1971-05-23
tuesday november 9 1993,1993-11-09
4 october 1981,1981-10-04
29 may 2018,2018-05-29
april 23 1992,1992-04-23
thursday may 13 1976,1976-05-13
thursday february 12 1981,1981-02-12
friday april 26 2002,2002-04-26
25 june 1970,1970-06-25
8 08 13,2013-08-08
monday november 27 1972,1972-11-27
31 12 79,1979-12-31
11 june 1987,1987-06-11
28 03 94,1994-03-28
sunday december 26 1993,1993-12-26
sunday january 9 1983,1983-01-09
march 3 2008,2008-03-03
3 apr 1989,1989-04-03
saturday november 22 1997,1997-11-22
4/1/16,2016-04-01
6 sep 2003,2003-09-06
12 10 01,2001-10-12
26.03.94,1994-03-26
apr 1 1994,1994-04-01
tuesday january 20 1987,1987-01-20
22 feb 2010,2010-02-22
19 january 2011,2011-01-19
friday march 7 1980,1980-03-07
19 dec 1997,1997-12-19
friday december 9 1988,1988-12-09
monday february 24 1986,1986-02-24
10 march 2001,2001-03-10
monday july 10 1978,1978-07-10
friday november 24 2017,2017-11-24
14 march 1988,1988-03-14
june 8 1994,1994-06-08
6/12/88,1988-06-12
24 april 1979,1979-04-24
sunday november 30 1986,1986-11-30
4/13/16,2016-04-13
12 march 1998,1998-03-12
tuesday november 11 2014,2014-11-11
thursday december 6 2007,2007-12-06
july 2 1995,1995-07-02
13 march 1984,1984-03-13
7 december 1973,1973-12-07
23 jun 1986,1986-06-23
tuesday march 16 1976,1976-03-16
29 dec 2012,2012-12-29
friday march 25 2016,2016-03-25
saturday may 25 1974,1974-05-25
19 february 2004,2004-02-19
saturday september 14 1985,1985-09-14
march 9 1976,1976-03-09
monday july 21 1980,1980-07-21
10 apr 1971,1971-04-10
3 september 2012,2012-09-03
saturday march 20 1999,1999-03-20
15.06.77,1977-06-15
wednesday july 3 2013,2013-07-03
november 9 1975,1975-11-09
12 august 2018,2018-08-12
23 oct 1995,1995-10-23
aug 6 1977,1977-08-06
sunday january 11 1998,1998-01-11
tuesday april 5 1994,1994-04-05
26 dec 2001,2001-12-26
9 april 2018,2018-04-09
1 mar 1987,1987-03-01
thursday june 12 2008,2008-06-12
wednesday march 15 1978,1978-03-15
26 jun 1971,1971-06-26
may 4 1974,1974-05-04
02.08.73,1973-08-02
16 apr 1993,1993-04-16
tuesday december 19 2006,2006-12-19
23 august 2016,2016-08-23
12/23/77,1977-12-23
may 29 1974,1974-05-29
november 21 1971,1971-11-21
sunday june 10 2007,2007-06-10
wednesday september 19 2001,2001-09-19
june 13 2014,2014-06-13
saturday may 11 1991,1991-05-11
march 30 2008,2008-03-30
7/26/85,1985-07-26
18 aug 1972,1972-08-18
friday august 30 2002,2002-08-30
april 11 1999,1999-04-11
mar 25 2017,2017-03-25
friday february 4 2005,2005-02-04
monday september 12 1977,1977-09-12
monday september 17 2018,2018-09-17
13 07 01,2001-07-13
28 oct 2017,2017-10-28
22 may 1985,1985-05-22
15 feb 2004,2004-02-15
04 jan 2011,2011-01-04
january 30 1994,1994-01-30
tuesday july 2 1985,1985-07-02
wednesday december 15 2004,2004-12-15
wednesday september 26 2018,2018-09-26
wednesday september 13 1995,1995-09-13
monday may 21 2012,2012-05-21
27 11 71,1971-11-27
friday october 7 1977,1977-10-07
sunday october 11 1970,1970-10-11
16 mar 1975,1975-03-16
28 october 1974,1974-10-28
saturday august 27 1988,1988-08-27
monday july 23 2001,2001-07-23
sunday april 26 2009,2009-04-26
aug 1 1999,1999-08-01
saturday august 7 1993,1993-08-07
march 7 1973,1973-03-07
tuesday september 30 1997,1997-09-30
saturday june 5 1976,1976-06-05
june 12 2011,2011-06-12
26 october 1998,1998-10-26
sunday september 9 2007,2007-09-09
sunday january 12 1986,1986-01-12
25 may 1989,1989-05-25
saturday april 19 1975,1975-04-19
monday december 23 1991,1991-12-23
october 23 1998,1998-10-23
11 jun 1987,1987-06-11
tuesday december 18 2007,2007-12-18
2 04 94,1994-04-02
16 dec 2002,2002-12-16
wednesday april 6 2011,2011-04-06
saturday april 28 1984,1984-04-28
september 5 2014,2014-09-05
friday december 23 2005,2005-12-23
06.07.01,2001-07-06
sunday june 23 1996,1996-06-23
sunday may 13 1990,1990-05-13
sunday september 10 2000,2000-09-10
november 28 2016,2016-11-28
may 13 1975,1975-05-13
september 18 1978,1978-09-18
november 1 1997,1997-11-01
sunday june 9 1996,1996-06-09
monday march 4 1974,1974-03-04
october 29 1989,1989-10-29
monday march 19 2012,2012-03-19
sunday march 6 2016,2016-03-06
saturday february 23 2013,2013-02-23
january 14 2018,2018-01-14
sunday april 13 2003,2003-04-13
april 1 1999,1999-04-01
monday february 1 1988,1988-02-01
30 august 1995,1995-08-30
august 6 1985,1985-08-06
23 02 84,1984-02-23
12/11/84,1984-12-11
9 september 2014,2014-09-09
9 june 1975,1975-06-09
7/26/18,2018-07-26
friday june 11 2004,2004-06-11
tuesday january 14 1975,1975-01-14
sunday april 27 2014,2014-04-27
november 24 1991,1991-11-24
19 august 2015,2015-08-19
wednesday october 12 1977,1977-10-12
friday february 20 1998,1998-02-20
feb 17 1985,1985-02-17
january 26 1981,1981-01-26
sunday march 16 2008,2008-03-16
january 18 1970,1970-01-18
18 sep 1997,1997-09-18
29 sep 1973,1973-09-29
sunday september 22 1974,1974-09-22
2/19/03,2003-02-19
tuesday october 31 1989,1989-10-31
friday february 20 2009,2009-02-20
november 2 1995,1995-11-02
26 march 2012,2012-03-26
26 dec 1997,1997-12-26
13 august 1985,1985-08-13
wednesday october 18 1989,1989-10-18
friday september 18 1987,1987-09-18
18 august 1999,1999-08-18
may 16 2002,2002-05-16
saturday august 22 2009,2009-08-22
12 jul 1999,1999-07-12
june 2 1987,1987-06-02
7 november 2003,2003-11-07
thursday july 24 1975,1975-07-24
february 15 1976,1976-02-15
13 june 1993,1993-06-13
saturday september 19 2015,2015-09-19
tuesday may 12 1992,1992-05-12
03 oct 1973,1973-10-03
january 17 1999,1999-01-17
saturday may 29 1971,1971-05-29
14 apr 1995,1995-04-14
8/27/80,1980-08-27
28 may 2018,2018-05-28
wednesday may 30 2018,2018-05-30
31 august 2000,2000-08-31
may 15 1975,1975-05-15
29 june 2012,2012-06-29
sunday april 2 1972,1972-04-02
05 oct 1985,1985-10-05
6 aug 1983,1983-08-06
thursday february 22 1973,1973-02-22
4/15/74,1974-04-15
28 aug 2007,2007-08-28
tuesday august 17 1993,1993-08-17
17 january 1992,1992-01-17
wednesday october 12 1983,1983-10-12
mar 9 1987,1987-03-09
6 april 1998,1998-04-06
saturday march 30 2013,2013-03-30
13 jan 2018,2018-01-13
december 10 1997,1997-12-10
apr 11 2001,2001-04-11
sunday june 10 2018,2018-06-10
01.02.09,2009-02-01
06 aug 2014,2014-08-06
saturday september 1 1979,1979-09-01
06.10.73,1973-10-06
november 29 1993,1993-11-29
21 jul 2005,2005-07-21
4/27/91,1991-04-27
15 03 75,1975-03-15
sunday march 6 1994,1994-03-06
15 apr 2001,2001-04-15
25 aug 1992,1992-08-25
3/1/98,1998-03-01
thursday july 17 1975,1975-07-17
3 09 13,2013-09-03
sunday august 15 2010,2010-08-15
28 august 1975,1975-08-28
friday march 9 1979,1979-03-09
august 24 1980,1980-08-24
january 14 1989,1989-01-14
thursday october 25 1973,1973-10-25
wednesday april 26 2017,2017-04-26
sunday july 24 1988,1988-07-24
03 dec 2006,2006-12-03
april 22 1975,1975-04-22
sunday november 10 1985,1985-11-10
11 jun 1978,1978-06-11
thursday august 29 2013,2013-08-29
november 24 1975,1975-11-24
sunday march 19 2017,2017-03-19
30 nov 1998,1998-11-30
28 may 1999,1999-05-28
saturday february 22 1997,1997-02-22
sunday may 24 1970,1970-05-24
friday october 31 1980,1980-10-31
3/21/75,1975-03-21
monday may 5 1986,1986-05-05
3/25/81,1981-03-25
30 april 1971,1971-04-30
saturday june 1 1985,1985-06-01
18 december 2015,2015-12-18
12.06.13,2013-06-12
feb 22 2017,2017-02-22
01.02.98,1998-02-01
february 22 2011,2011-02-22
28 apr 2017,2017-04-28
9 october 2011,2011-10-09
30.05.07,2007-05-30
tuesday august 30 1988,1988-08-30
21 june 2008,2008-06-21
july 30 1989,1989-07-30
6/1/01,2001-06-01
21 march 1997,1997-03-21
05 aug 1999,1999-08-05
14 august 1977,1977-08-14
thursday april 29 1993,1993-04-29
12 september 2018,2018-09-12
tuesday july 10 2001,2001-07-10
february 18 1972,1972-02-18
26 jan 2011,2011-01-26
september 25 1980,1980-09-25
sunday july 4 1993,1993-07-04
friday september 10 1982,1982-09-10
17 june 1986,1986-06-17
31 december 2000,2000-12-31
22 nov 1974,1974-11-22
8/2/82,1982-08-02
7 jan 1986,1986-01-07
thursday march 1 1973,1973-03-01
29 september 1995,1995-09-29
wednesday january 23 1974,1974-01-23
23 january 1976,1976-01-23
13 october 1996,1996-10-13
22 nov 1992,1992-11-22
19 sep 1992,1992-09-19
saturday july 28 1990,1990-07-28
16 jan 1975,1975-01-16
28 sep 2015,2015-09-28
20 march 1982,1982-03-20
20 june 1972,1972-06-20
january 5 1997,1997-01-05
wednesday july 11 1984,1984-07-11
14 january 1973,1973-01-14
17 february 1977,1977-02-17
23 august 2017,2017-08-23
3/14/75,1975-03-14
5/25/01,2001-05-25
jul 6 1977,1977-07-06
thursday june 26 2014,2014-06-26
30 june 1972,1972-06-30
september 13 1983,1983-09-13
27.09.14,2014-09-27
february 16 1991,1991-02-16
24 may 2007,2007-05-24
mar 30 1999,1999-03-30
1 may 1992,1992-05-01
sunday may 14 2000,2000-05-14
dec 19 1989,1989-12-19
monday june 29 2015,2015-06-29
24 november 2013,2013-11-24
march 10 1970,1970-03-10
wednesday january 30 1985,1985-01-30
friday may 4 2018,2018-05-04
wednesday july 13 1983,1983-07-13
8/31/89,1989-08-31
20.06.72,1972-06-20
15 november 2018,2018-11-15
wednesday july 24 1985,1985-07-24
wednesday may 30 1979,1979-05-30
november 14 2006,2006-11-14
25.06.13,2013-06-25
thursday august 6 1987,1987-08-06
july 23 2007,2007-07-23
19 jul 1978,1978-07-19
friday january 2 1981,1981-01-02
16 march 2008,2008-03-16
wednesday may 10 1995,1995-05-10
july 20 2001,2001-07-20
23 april 1999,1999-04-23
tuesday may 7 2002,2002-05-07
thursday march 2 1989,1989-03-02
friday july 10 2015,2015-07-10
5 feb 1980,1980-02-05
tuesday september 13 1977,1977-09-13
12 dec 1973,1973-12-12
20 april 1998,1998-04-20
october 6 1993,1993-10-06
saturday july 27 1991,1991-07-27
13.08.72,1972-08-13
sunday september 23 2012,2012-09-23
saturday march 5 1988,1988-03-05
thursday november 2 1989,1989-11-02
monday march 5 2012,2012-03-05
november 27 1979,1979-11-27
july 10 2001,2001-07-10
6 april 1984,1984-04-06
12 03 83,1983-03-12
sunday december 27 1981,1981-12-27
6 02 72,1972-02-06
01.05.04,2004-05-01
sunday may 15 1977,1977-05-15
thursday december 11 2003,2003-12-11
wednesday august 18 2010,2010-08-18
26 february 1999,1999-02-26
wednesday november 8 1995,1995-11-08
06 may 1985,1985-05-06
jul 5 1982,1982-07-05
thursday march 23 1978,1978-03-23
6 august 1999,1999-08-06
tuesday july 30 1985,1985-07-30
24 06 72,1972-06-24
wednesday august 22 1984,1984-08-22
may 5 1986,1986-05-05
28 december 2002,2002-12-28
sunday july 29 2012,2012-07-29
17 december 2016,2016-12-17
25 apr 1972,1972-04-25
apr 18 2012,2012-04-18
december 22 2011,2011-12-22
13 apr 1980,1980-04-13
thursday march 7 1996,1996-03-07
22 10 80,1980-10-22
october 28 2005,2005-10-28
thursday november 20 2008,2008-11-20
wednesday november 22 2000,2000-11-22
sunday december 9 1990,1990-12-09
saturday june 26 1976,1976-06-26
11 apr 2006,2006-04-11
13 mar 1995,1995-03-13
6/29/82,1982-06-29
saturday november 2 1991,1991-11-02
friday february 1 1974,1974-02-01
2/5/72,1972-02-05
friday july 6 2001,2001-07-06
may 10 1994,1994-05-10
9 october 1985,1985-10-09
4/15/98,1998-04-15
27 05 98,1998-05-27
27 mar 1986,1986-03-27
2 may 1978,1978-05-02
6 february 1998,1998-02-06
jun 21 1988,1988-06-21
monday april 26 2004,2004-04-26
9 february 1993,1993-02-09
27 nov 1997,1997-11-27
tuesday may 7 2002,2002-05-07
14 mar 2010,2010-03-14
january 17 2001,2001-01-17
thursday september 25 1986,1986-09-25
aug 15 1993,1993-08-15
21 may 1996,1996-05-21
24 mar 1987,1987-03-24
sunday september 19 1999,1999-09-19
tuesday july 24 1973,1973-07-24
4 february 1990,1990-02-04
sunday august 20 2000,2000-08-20
18.06.99,1999-06-18
friday december 26 2003,2003-12-26
1/4/17,2017-01-04
friday july 16 1993,1993-07-16
friday october 23 2009,2009-10-23
saturday march 19 1994,1994-03-19
27 march 2010,2010-03-27
january 12 2019,2019-01-12
friday november 23 1979,1979-11-23
tuesday december 16 1980,1980-12-16
9 jul 1987,1987-07-09
18.12.18,2018-12-18
tuesday march 26 1974,1974-03-26
july 23 2007,2007-07-23
23.01.90,1990-01-23
friday november 14 2014,2014-11-14
sunday february 1 2015,2015-02-01
22 march 2008,2008-03-22
16.05.79,1979-05-16
8/6/77,1977-08-06
thursday january 1 1970,1970-01-01
30 04 16,2016-04-30
tuesday may 23 1972,1972-05-23
30 dec 2014,2014-12-30
tuesday october 20 2009,2009-10-20
sunday november 5 1995,1995-11-05
october 25 2009,2009-10-25
14 april 1975,1975-04-14
10 apr 1985,1985-04-10
thursday june 7 1979,1979-06-07
wednesday june 29 2005,2005-06-29
tuesday september 28 1982,1982-09-28
feb 4 1977,1977-02-04
9/20/01,2001-09-20
november 30 1970,1970-11-30
6/18/92,1992-06-18
17 mar 2007,2007-03-17
sunday august 17 2003,2003-08-17
11 05 87,1987-05-11
02 sep 1978,1978-09-02
saturday june 9 1979,1979-06-09
saturday september 22 1990,1990-09-22
monday august 11 1975,1975-08-11
jan 20 1979,1979-01-20
august 8 2006,2006-08-08
dec 10 1983,1983-12-10
sunday august 13 2000,2000-08-13
25 march 1996,1996-03-25
tuesday april 17 1984,1984-04-17
wednesday september 21 1983,1983-09-21
friday november 1 2013,2013-11-01
march 3 1979,1979-03-03
10.11.75,1975-11-10
28 march 1972,1972-03-28
june 20 1972,1972-06-20
tuesday april 18 2000,2000-04-18
10.01.14,2014-01-10
friday june 5 1987,1987-06-05
04 jun 1993,1993-06-04
saturday january 28 2006,2006-01-28
thursday march 2 2006,2006-03-02
thursday december 17 1981,1981-12-17
april 14 2005,2005-04-14
2/20/70,1970-02-20
21 june 1976,1976-06-21
tuesday august 20 1996,1996-08-20
oct 9 1971,1971-10-09
03 nov 1974,1974-11-03
1/30/76,1976-01-30
8 aug 1995,1995-08-08
5/7/10,2010-05-07
monday october 22 1984,1984-10-22
friday february 17 1978,1978-02-17
5 june 1984,1984-06-05
02.09.72,1972-09-02
wednesday may 31 1972,1972-05-31
sunday january 31 2010,2010-01-31
wednesday september 9 1998,1998-09-09
tuesday january 15 2013,2013-01-15
june 29 2016,2016-06-29
tuesday april 9 1996,1996-04-09
tuesday march 6 2012,2012-03-06
25 11 77,1977-11-25
thursday march 12 2009,2009-03-12
thursday may 7 1992,1992-05-07
tuesday november 24 2009,2009-11-24
june 19 2008,2008-06-19
22 september 1997,1997-09-22
monday february 23 2015,2015-02-23
25 march 1984,1984-03-25
saturday october 24 1987,1987-10-24
september 5 1995,1995-09-05
friday august 13 2004,2004-08-13
wednesday september 13 1995,1995-09-13
9 february 1979,1979-02-09
january 3 1979,1979-01-03
january 12 1984,1984-01-12
sunday november 15 1992,1992-11-15
7 aug 1971,1971-08-07
thursday april 30 2015,2015-04-30
24 april 1979,1979-04-24
sunday march 16 1975,1975-03-16
12 06 72,1972-06-12
24 may 2018,2018-05-24
tuesday june 13 1989,1989-06-13
wednesday january 25 1995,1995-01-25
tuesday october 1 2013,2013-10-01
11/4/16,2016-11-04
07 jan 2006,2006-01-07
september 26 1976,1976-09-26
saturday october 2 1971,1971-10-02
saturday may 12 2018,2018-05-12
8 march 1971,1971-03-08
thursday may 17 1984,1984-05-17
tuesday february 11 1986,1986-02-11
wednesday april 7 1971,1971-04-07
10 jan 1988,1988-01-10
10 september 1993,1993-09-10
wednesday july 17 2013,2013-07-17
saturday march 23 2002,2002-03-23
november 6 2004,2004-11-06
friday october 25 2002,2002-10-25
07 apr 1978,1978-04-07
sunday july 14 2013,2013-07-14
28 november 1976,1976-11-28
3/25/95,1995-03-25
03 aug 1981,1981-08-03
feb 20 2017,2017-02-20
saturday august 20 2005,2005-08-20
saturday may 5 1990,1990-05-05
31 dec 2010,2010-12-31
sunday august 25 2013,2013-08-25
wednesday august 1 1973,1973-08-01
24 april 1983,1983-04-24
24 01 71,1971-01-24
thursday august 8 2002,2002-08-08
monday january 30 2006,2006-01-30
aug 23 1984,1984-08-23
sunday november 13 1983,1983-11-13
tuesday june 10 2003,2003-06-10
saturday january 23 2016,2016-01-23
friday october 9 1981,1981-10-09
sunday december 4 1977,1977-12-04
21 june 2002,2002-06-21
saturday december 26 2015,2015-12-26
september 5 2015,2015-09-05
14.03.78,1978-03-14
friday august 3 2018,2018-08-03
18 jul 1979,1979-07-18
sunday july 24 2005,2005-07-24
25 jun 2011,2011-06-25
tuesday april 29 2014,2014-04-29
monday december 16 2013,2013-12-16
wednesday march 15 1972,1972-03-15
tuesday august 13 1985,1985-08-13
26 10 11,2011-10-26
june 24 1971,1971-06-24
22 september 2016,2016-09-22
jul 21 2005,2005-07-21
8 mar 2008,2008-03-08
sep 15 2002,2002-09-15
sunday january 9 2011,2011-01-09
25 jan 1979,1979-01-25
5 05 80,1980-05-05
saturday november 10 2018,2018-11-10
15 apr 1978,1978-04-15
wednesday december 20 1989,1989-12-20
14 06 16,2016-06-14
14.09.84,1984-09-14
7 july 1993,1993-07-07
tuesday march 17 2009,2009-03-17
monday january 26 2009,2009-01-26
may 18 1974,1974-05-18
august 8 1996,1996-08-08
january 28 2002,2002-01-28
5 mar 1993,1993-03-05
14 nov 2000,2000-11-14
09 mar 2017,2017-03-09
wednesday october 25 1995,1995-10-25
5 august 1981,1981-08-05
saturday june 7 1986,1986-06-07
9 october 1980,1980-10-09
saturday june 16 2001,2001-06-16
8 dec 2013,2013-12-08
3 august 2008,2008-08-03
2 oct 1975,1975-10-02
july 27 1975,1975-07-27
08.11.09,2009-11-08
friday december 28 1984,1984-12-28
tuesday july 19 1983,1983-07-19
nov 25 1980,1980-11-25
16.07.80,1980-07-16
wednesday january 20 1988,1988-01-20
22 may 2003,2003-05-22
25 sep 2000,2000-09-25
august 13 1975,1975-08-13
thursday june 16 1994,1994-06-16
31.01.18,2018-01-31
25 mar 1993,1993-03-25
november 21 2015,2015-11-21
16.06.90,1990-06-16
wednesday may 26 1999,1999-05-26
wednesday may 26 1999,1999-05-26
25 january 2000,2000-01-25
8 september 1985,1985-09-08
december 11 2001,2001-12-11
12 february 1993,1993-02-12
february 12 1988,1988-02-12
3 nov 1981,1981-11-03
march 27 2000,2000-03-27
october 30 1999,1999-10-30
thursday june 22 1978,1978-06-22
monday september 26 1983,1983-09-26
29 august 2015,2015-08-29
march 5 2014,2014-03-05
saturday march 8 1980,1980-03-08
17 march 2015,2015-03-17
5 april 1993,1993-04-05
january 18 1981,1981-01-18
july 27 2014,2014-07-27
monday may 9 1983,1983-05-09
28 august 1992,1992-08-28
friday october 20 2017,2017-10-20
14 march 2001,2001-03-14
sunday july 25 2010,2010-07-25
tuesday september 7 1982,1982-09-07
saturday february 27 1988,1988-02-27
23.12.05,2005-12-23
sunday december 1 2013,2013-12-01
friday january 11 1980,1980-01-11
thursday june 21 2018,2018-06-21
september 9 2007,2007-09-09
thursday june 28 2001,2001-06-28
september 3 1999,1999-09-03
tuesday january 12 1971,1971-01-12
monday october 27 2014,2014-10-27
thursday july 1 1993,1993-07-01
15 oct 2014,2014-10-15
13 jan 2013,2013-01-13
sunday october 14 2012,2012-10-14
sunday october 11 2009,2009-10-11
15 jun 1987,1987-06-15
26 may 2010,2010-05-26
monday august 5 1974,1974-08-05
3 12 09,2009-12-03
07 aug 2012,2012-08-07
friday october 17 1997,1997-10-17
sunday june 18 1978,1978-06-18
17 august 1992,1992-08-17
4 03 02,2002-03-04
5 january 2007,2007-01-05
30 september 2011,2011-09-30
sunday september 1 1996,1996-09-01
tuesday august 3 2004,2004-08-03
wednesday november 7 2012,2012-11-07
27 jul 1998,1998-07-27
monday january 8 1973,1973-01-08
12/6/73,1973-12-06
april 10 1971,1971-04-10
monday may 17 2004,2004-05-17
sunday january 26 1986,1986-01-26
saturday october 5 1985,1985-10-05
march 1 2009,2009-03-01
07 oct 1992,1992-10-07
22 september 1976,1976-09-22
21 april 1974,1974-04-21
mar 6 2018,2018-03-06
friday july 31 1992,1992-07-31
monday june 21 2004,2004-06-21
1 sep 2010,2010-09-01
monday august 21 1972,1972-08-21
18 aug 2018,2018-08-18
saturday august 18 1984,1984-08-18
monday october 25 1999,1999-10-25
23 jan 2016,2016-01-23
saturday december 9 2006,2006-12-09
11.04.95,1995-04-11
friday july 18 2008,2008-07-18
friday may 19 1989,1989-05-19
friday october 16 2015,2015-10-16
thursday november 15 2007,2007-11-15
july 11 1984,1984-07-11
wednesday january 24 1973,1973-01-24
8 03 11,2011-03-08
thursday december 2 1993,1993-12-02
thursday february 21 1991,1991-02-21
7 march 1973,1973-03-07
12 feb 1990,1990-02-12
friday september 7 1990,1990-09-07
tuesday january 26 1993,1993-01-26
19.08.98,1998-08-19
27 aug 1976,1976-08-27
sunday november 21 2004,2004-11-21
thursday october 17 2013,2013-10-17
wednesday may 25 1983,1983-05-25
friday may 22 1970,1970-05-22
wednesday may 16 2007,2007-05-16
23 jul 1998,1998-07-23
may 21 2006,2006-05-21
19 jul 2008,2008-07-19
8 aug 1974,1974-08-08
thursday april 27 2017,2017-04-27
7 may 2013,2013-05-07
friday september 15 1978,1978-09-15
21 dec 2008,2008-12-21
11 december 1996,1996-12-11
june 28 2000,2000-06-28
january 14 1998,1998-01-14
wednesday april 5 1978,1978-04-05
wednesday march 19 1980,1980-03-19
18 aug 1994,1994-08-18
monday september 25 1978,1978-09-25
11 oct 2003,2003-10-11
15 feb 2001,2001-02-15
11 01 97,1997-01-11
sunday may 15 2016,2016-05-15
thursday february 22 1979,1979-02-22
8 july 2002,2002-07-08
saturday november 17 2012,2012-11-17
monday january 3 1994,1994-01-03
thursday october 7 1982,1982-10-07
30 march 1974,1974-03-30
monday may 26 1980,1980-05-26
tuesday june 18 1996,1996-06-18
tuesday march 13 1979,1979-03-13
sunday december 31 1972,1972-12-31
march 11 2016,2016-03-11
monday october 4 1971,1971-10-04
18 june 1994,1994-06-18
saturday may 3 1975,1975-05-03
may 16 1987,1987-05-16
monday april 28 1997,1997-04-28
14 june 1972,1972-06-14
01 nov 1990,1990-11-01
29 sep 1998,1998-09-29
1 08 75,1975-08-01
22 jun 1988,1988-06-22
28 december 1984,1984-12-28
7/24/91,1991-07-24
9 february 1993,1993-02-09
